Entry_Time,Symbol,Timeframe,Trade_Type,Weekly_Expiry,Future_Price,Lot_Size,Sell_Leg,Buy_Leg,Sell_Entry_Price,Buy_Entry_Price,Net_Credit_Points,Net_Credit_INR,Stop_Loss_Points,Take_Profit_Points,Take_Profit_INR
2026-06-30 09:45,NIFTY,3min/15min,Bear Call Spread,2026-06-30,23875.0,65,23900 CE,24000 CE,57.45,26.6,30.85,2005.25,66.07,9.26,601.9
2026-07-02 09:36,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24234.4,65,24250 PE,24150 PE,175.4,123.7,51.7,3360.5,201.71,15.51,1008.15
2026-07-02 13:39,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24226.5,65,24250 PE,24150 PE,168.5,114.9,53.6,3484.0,193.77,16.08,1045.2
2026-07-06 09:30,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24419.0,65,24400 PE,24300 PE,94.0,48.5,45.5,2957.5,108.1,13.65,887.25
2026-07-06 10:21,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24466.0,65,24450 PE,24350 PE,103.7,53.7,50.0,3250.0,119.25,15.0,975.0
2026-07-06 10:48,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24477.0,65,24500 PE,24400 PE,124.2,66.5,57.7,3750.5,142.83,17.31,1125.15
2026-07-06 12:00,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24485.7,65,24500 PE,24400 PE,111.4,58.1,53.3,3464.5,128.11,15.99,1039.35
2026-07-07 09:42,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24504.4,65,24500 PE,24400 PE,68.85,21.5,47.35,3077.75,79.18,14.21,923.65
2026-07-07 11:03,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24538.5,65,24550 PE,24450 PE,77.45,21.6,55.85,3630.25,89.07,16.75,1088.75
2026-07-07 15:00,NIFTY,3min/15min,Bear Call Spread,2026-07-07,24457.4,65,24450 CE,24550 CE,2.1,0.2,1.9,123.5,2.42,0.57,37.05
2026-07-08 12:09,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24260.0,65,24250 CE,24350 CE,120.55,80.4,40.15,2609.75,138.63,12.04,782.6
2026-07-09 13:33,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24114.0,65,24100 PE,24000 PE,151.3,106.3,45.0,2925.0,174.0,13.5,877.5
2026-07-09 14:39,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24073.8,65,24050 CE,24150 CE,130.15,84.65,45.5,2957.5,149.67,13.65,887.25
2026-07-09 15:03,NIFTY,3min/15min,Bear Call Spread,2026-07-14,23993.1,65,24000 CE,24100 CE,121.65,79.3,42.35,2752.75,139.9,12.71,826.15
2026-07-10 12:00,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24220.0,65,24200 PE,24100 PE,114.65,72.0,42.65,2772.25,131.85,12.79,831.35
2026-07-10 14:24,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24245.0,65,24250 PE,24150 PE,130.1,82.0,48.1,3126.5,149.61,14.43,937.95
2026-07-13 12:27,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24208.0,65,24200 PE,24100 PE,108.55,65.4,43.15,2804.75,124.83,12.94,841.1
2026-07-13 14:48,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24269.9,65,24250 PE,24150 PE,93.1,53.25,39.85,2590.25,107.06,11.96,777.4
2026-07-14 10:18,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24069.0,65,24050 CE,24150 CE,46.05,14.15,31.9,2073.5,52.96,9.57,622.05
2026-07-14 12:45,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24066.6,65,24050 CE,24150 CE,41.55,8.25,33.3,2164.5,47.78,9.99,649.35
2026-07-15 09:18,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24165.0,65,24150 PE,24050 PE,170.55,125.45,45.1,2931.5,196.13,13.53,879.45
2026-07-15 10:15,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24215.0,65,24200 PE,24100 PE,158.75,116.0,42.75,2778.75,182.56,12.82,833.3
2026-07-15 11:54,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24194.8,65,24200 PE,24100 PE,166.35,120.95,45.4,2951.0,191.3,13.62,885.3
2026-07-15 12:54,NIFTY,3min/15min,Bear Call Spread,2026-07-21,24028.7,65,24050 CE,24150 CE,187.55,134.65,52.9,3438.5,215.68,15.87,1031.55
2026-07-16 13:24,NIFTY,3min/15min,Bear Call Spread,2026-07-21,24117.5,65,24100 CE,24200 CE,133.45,86.3,47.15,3064.75,153.47,14.14,919.1
2026-07-16 13:39,NIFTY,3min/15min,Bear Call Spread,2026-07-21,24063.3,65,24050 CE,24150 CE,135.75,90.0,45.75,2973.75,156.11,13.72,891.8
2026-07-17 09:15,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24161.4,65,24150 PE,24050 PE,140.1,95.5,44.6,2899.0,161.11,13.38,869.7
2026-07-17 12:21,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24255.0,65,24250 PE,24150 PE,140.1,97.2,42.9,2788.5,161.11,12.87,836.55
2026-07-17 14:42,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24305.6,65,24300 PE,24200 PE,132.9,91.4,41.5,2697.5,152.84,12.45,809.25
2026-07-17 15:24,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24330.0,65,24350 PE,24250 PE,144.4,100.2,44.2,2873.0,166.06,13.26,861.9
2026-07-21 12:42,NIFTY,3min/15min,Bear Call Spread,2026-07-21,24171.0,65,24150 CE,24250 CE,43.1,7.5,35.6,2314.0,49.56,10.68,694.2
2026-07-21 15:21,NIFTY,3min/15min,Bull Put Spread,2026-07-21,24185.6,65,24200 PE,24100 PE,12.55,0.05,12.5,812.5,14.43,3.75,243.75
2026-07-22 09:15,NIFTY,3min/15min,Bear Call Spread,2026-07-28,24060.0,65,24050 CE,24150 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 12:15,NIFTY,3min/15min,Bear Call Spread,2026-07-28,23977.1,65,24000 CE,24100 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 14:27,NIFTY,3min/15min,Bear Call Spread,2026-07-28,23961.0,65,23950 CE,24050 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23 12:42,NIFTY,3min/15min,Bear Call Spread,2026-07-28,23842.0,65,23850 CE,23950 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24 12:45,NIFTY,3min/15min,Bull Put Spread,2026-07-28,23829.0,65,23850 PE,23750 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30 15:00,NIFTY,5min/30min,Bear Call Spread,2026-06-30,23853.4,65,23850 CE,23950 CE,17.2,0.65,16.55,1075.75,19.78,4.96,322.4
2026-07-01 10:20,NIFTY,5min/30min,Bull Put Spread,2026-07-07,24129.2,65,24150 PE,24050 PE,220.25,166.4,53.85,3500.25,253.29,16.16,1050.4
2026-07-01 14:55,NIFTY,5min/30min,Bull Put Spread,2026-07-07,24119.0,65,24100 PE,24000 PE,180.8,131.55,49.25,3201.25,207.92,14.77,960.05
2026-07-03 11:30,NIFTY,5min/30min,Bull Put Spread,2026-07-07,24409.3,65,24400 PE,24300 PE,128.3,79.4,48.9,3178.5,147.54,14.67,953.55
2026-07-06 10:25,NIFTY,5min/30min,Bull Put Spread,2026-07-07,24472.1,65,24450 PE,24350 PE,100.75,52.4,48.35,3142.75,115.86,14.5,942.5
2026-07-07 12:00,NIFTY,5min/30min,Bull Put Spread,2026-07-07,24560.0,65,24550 PE,24450 PE,52.95,11.3,41.65,2707.25,60.89,12.49,811.85
2026-07-07 15:00,NIFTY,5min/30min,Bear Call Spread,2026-07-07,24465.2,65,24450 CE,24550 CE,2.1,0.2,1.9,123.5,2.42,0.57,37.05
2026-07-08 12:10,NIFTY,5min/30min,Bear Call Spread,2026-07-14,24251.0,65,24250 CE,24350 CE,120.1,80.05,40.05,2603.25,138.11,12.01,780.65
2026-07-08 14:35,NIFTY,5min/30min,Bear Call Spread,2026-07-14,23903.5,65,23900 CE,24000 CE,192.6,145.2,47.4,3081.0,221.49,14.22,924.3
2026-07-08 14:50,NIFTY,5min/30min,Bear Call Spread,2026-07-14,23874.4,65,23850 CE,23950 CE,186.55,139.0,47.55,3090.75,214.53,14.26,926.9
2026-07-09 15:05,NIFTY,5min/30min,Bear Call Spread,2026-07-14,23999.0,65,24000 CE,24100 CE,116.1,76.45,39.65,2577.25,133.51,11.89,772.85
2026-07-10 14:25,NIFTY,5min/30min,Bull Put Spread,2026-07-14,24238.0,65,24250 PE,24150 PE,126.1,79.3,46.8,3042.0,145.01,14.04,912.6
2026-07-13 09:15,NIFTY,5min/30min,Bear Call Spread,2026-07-14,24051.0,65,24050 CE,24150 CE,65.7,30.5,35.2,2288.0,75.55,10.56,686.4
2026-07-13 12:40,NIFTY,5min/30min,Bull Put Spread,2026-07-14,24240.0,65,24250 PE,24150 PE,118.7,71.85,46.85,3045.25,136.5,14.05,913.25
2026-07-14 14:50,NIFTY,5min/30min,Bear Call Spread,2026-07-14,24011.1,65,24000 CE,24100 CE,32.25,1.65,30.6,1989.0,37.09,9.18,596.7
2026-07-14 15:20,NIFTY,5min/30min,Bear Call Spread,2026-07-14,24021.0,65,24000 CE,24100 CE,51.8,0.1,51.7,3360.5,59.57,15.51,1008.15
2026-07-15 10:15,NIFTY,5min/30min,Bull Put Spread,2026-07-21,24218.0,65,24200 PE,24100 PE,158.75,116.0,42.75,2778.75,182.56,12.82,833.3
2026-07-16 12:25,NIFTY,5min/30min,Bull Put Spread,2026-07-21,24190.7,65,24200 PE,24100 PE,147.25,101.35,45.9,2983.5,169.34,13.77,895.05
2026-07-20 15:15,NIFTY,5min/30min,Bull Put Spread,2026-07-21,24257.7,65,24250 PE,24150 PE,73.5,36.95,36.55,2375.75,84.52,10.96,712.4
2026-07-21 11:20,NIFTY,5min/30min,Bear Call Spread,2026-07-21,24185.2,65,24200 CE,24300 CE,28.7,6.25,22.45,1459.25,33.0,6.73,437.45
2026-07-21 12:45,NIFTY,5min/30min,Bear Call Spread,2026-07-21,24174.0,65,24150 CE,24250 CE,43.5,7.5,36.0,2340.0,50.02,10.8,702.0
2026-07-21 13:55,NIFTY,5min/30min,Bear Call Spread,2026-07-21,24161.4,65,24150 CE,24250 CE,33.25,2.9,30.35,1972.75,38.24,9.11,592.15
2026-07-22 10:20,NIFTY,5min/30min,Bear Call Spread,2026-07-28,24000.0,65,24000 CE,24100 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23 13:10,NIFTY,5min/30min,Bear Call Spread,2026-07-28,23825.0,65,23800 CE,23900 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 15:10,NIFTY,5min/30min,Bull Put Spread,2026-07-28,24025.0,65,24000 PE,23900 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02 14:10,NIFTY,10min/60min,Bull Put Spread,2026-07-07,24222.8,65,24200 PE,24100 PE,137.25,91.5,45.75,2973.75,157.84,13.72,891.8
2026-07-06 11:50,NIFTY,10min/60min,Bull Put Spread,2026-07-07,24476.2,65,24500 PE,24400 PE,127.9,68.3,59.6,3874.0,147.09,17.88,1162.2
2026-07-07 11:20,NIFTY,10min/60min,Bull Put Spread,2026-07-07,24560.8,65,24550 PE,24450 PE,65.3,16.85,48.45,3149.25,75.09,14.54,945.1
2026-07-13 14:00,NIFTY,10min/60min,Bull Put Spread,2026-07-14,24234.3,65,24250 PE,24150 PE,124.25,73.85,50.4,3276.0,142.89,15.12,982.8
2026-07-17 09:20,NIFTY,10min/60min,Bull Put Spread,2026-07-21,24198.0,65,24200 PE,24100 PE,143.3,98.85,44.45,2889.25,164.79,13.34,867.1
2026-07-22 12:10,NIFTY,10min/60min,Bear Call Spread,2026-07-28,23957.3,65,23950 CE,24050 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 14:00,NIFTY,10min/60min,Bull Put Spread,2026-07-28,24012.0,65,24000 PE,23900 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 15:20,NIFTY,10min/60min,Bull Put Spread,2026-07-28,24040.0,65,24050 PE,23950 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
