Entry_Time,Symbol,Timeframe,Trade_Type,Weekly_Expiry,Future_Price,Lot_Size,Sell_Leg,Buy_Leg,Sell_Entry_Price,Buy_Entry_Price,Net_Credit_Points,Net_Credit_INR,Stop_Loss_Points,Take_Profit_Points,Take_Profit_INR
2026-06-30 12:54,SENSEX,3min/15min,Bull Put Spread,2026-07-02,77246.95,20,77200 PE,77000 PE,603.45,474.35,129.1,2582.0,693.97,38.73,774.6
2026-07-02 14:36,SENSEX,3min/15min,Bull Put Spread,2026-07-02,77820.0,20,77800 PE,77600 PE,389.85,205.55,184.3,3686.0,448.33,55.29,1105.8
2026-07-03 15:12,SENSEX,3min/15min,Bear Call Spread,2026-07-09,78107.35,20,78100 CE,78300 CE,281.85,210.2,71.65,1433.0,324.13,21.5,430.0
2026-07-07 15:24,SENSEX,3min/15min,Bear Call Spread,2026-07-09,78351.0,20,78400 CE,78600 CE,147.65,95.0,52.65,1053.0,169.8,15.79,315.8
2026-07-08 11:54,SENSEX,3min/15min,Bear Call Spread,2026-07-09,77900.0,20,77900 CE,78100 CE,145.25,88.6,56.65,1133.0,167.04,16.99,339.8
2026-07-08 13:51,SENSEX,3min/15min,Bear Call Spread,2026-07-09,77400.0,20,77400 CE,77600 CE,178.7,117.05,61.65,1233.0,205.5,18.49,369.8
2026-07-09 14:39,SENSEX,3min/15min,Bear Call Spread,2026-07-09,77237.8,20,77200 CE,77400 CE,18.6,5.5,13.1,262.0,21.39,3.93,78.6
2026-07-09 15:03,SENSEX,3min/15min,Bear Call Spread,2026-07-09,77000.0,20,77000 CE,77200 CE,2.1,1.15,0.95,19.0,2.42,0.28,5.6
2026-07-10 09:36,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77750.0,20,77800 PE,77600 PE,668.95,562.55,106.4,2128.0,769.29,31.92,638.4
2026-07-10 12:27,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77710.0,20,77700 PE,77500 PE,576.4,474.3,102.1,2042.0,662.86,30.63,612.6
2026-07-10 15:27,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77842.0,20,77800 PE,77600 PE,530.9,429.5,101.4,2028.0,610.53,30.42,608.4
2026-07-13 11:09,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77620.0,20,77600 PE,77400 PE,586.75,482.55,104.2,2084.0,674.76,31.26,625.2
2026-07-14 12:06,SENSEX,3min/15min,Bear Call Spread,2026-07-16,77354.95,20,77400 CE,77600 CE,264.6,190.6,74.0,1480.0,304.29,22.2,444.0
2026-07-14 12:27,SENSEX,3min/15min,Bear Call Spread,2026-07-16,77250.0,20,77200 CE,77400 CE,313.35,228.95,84.4,1688.0,360.35,25.32,506.4
2026-07-15 09:15,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77465.15,20,77500 PE,77300 PE,465.2,347.3,117.9,2358.0,534.98,35.37,707.4
2026-07-15 12:39,SENSEX,3min/15min,Bear Call Spread,2026-07-16,77515.0,20,77500 CE,77700 CE,212.15,136.5,75.65,1513.0,243.97,22.7,454.0
2026-07-15 12:54,SENSEX,3min/15min,Bear Call Spread,2026-07-16,77164.25,20,77200 CE,77400 CE,323.7,220.75,102.95,2059.0,372.25,30.88,617.6
2026-07-16 09:45,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77560.0,20,77600 PE,77400 PE,275.4,154.9,120.5,2410.0,316.71,36.15,723.0
2026-07-16 10:45,SENSEX,3min/15min,Bull Put Spread,2026-07-16,77570.0,20,77600 PE,77400 PE,269.1,138.0,131.1,2622.0,309.46,39.33,786.6
2026-07-17 15:27,SENSEX,3min/15min,Bull Put Spread,2026-07-23,78129.05,20,78100 PE,77900 PE,548.8,466.0,82.8,1656.0,631.12,24.84,496.8
2026-07-20 13:27,SENSEX,3min/15min,Bull Put Spread,2026-07-23,77744.35,20,77700 PE,77500 PE,421.2,337.0,84.2,1684.0,484.38,25.26,505.2
2026-07-20 14:27,SENSEX,3min/15min,Bull Put Spread,2026-07-23,77804.0,20,77800 PE,77600 PE,416.85,331.25,85.6,1712.0,479.38,25.68,513.6
2026-07-21 09:33,SENSEX,3min/15min,Bear Call Spread,2026-07-23,77650.0,20,77600 CE,77800 CE,372.9,276.8,96.1,1922.0,428.83,28.83,576.6
2026-07-22 10:42,SENSEX,3min/15min,Bear Call Spread,2026-07-23,76825.2,20,76800 CE,77000 CE,275.35,190.1,85.25,1705.0,316.65,25.57,511.4
2026-07-22 12:18,SENSEX,3min/15min,Bear Call Spread,2026-07-23,76758.7,20,76800 CE,77000 CE,242.2,163.4,78.8,1576.0,278.53,23.64,472.8
2026-07-23 12:30,SENSEX,3min/15min,Bear Call Spread,2026-07-23,76425.0,20,76400 CE,76600 CE,114.5,41.6,72.9,1458.0,131.67,21.87,437.4
2026-07-23 12:42,SENSEX,3min/15min,Bear Call Spread,2026-07-23,76330.0,20,76300 CE,76500 CE,127.2,44.95,82.25,1645.0,146.28,24.68,493.6
2026-07-24 14:51,SENSEX,3min/15min,Bull Put Spread,2026-07-30,76306.25,20,76300 PE,76100 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 11:18,SENSEX,3min/15min,Bull Put Spread,2026-07-30,76780.0,20,76800 PE,76600 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02 14:05,SENSEX,5min/30min,Bull Put Spread,2026-07-02,77749.95,20,77700 PE,77500 PE,353.1,176.25,176.85,3537.0,406.06,53.05,1061.0
2026-07-06 12:00,SENSEX,5min/30min,Bull Put Spread,2026-07-09,78600.0,20,78600 PE,78400 PE,505.5,390.0,115.5,2310.0,581.32,34.65,693.0
2026-07-07 10:25,SENSEX,5min/30min,Bull Put Spread,2026-07-09,78780.0,20,78800 PE,78600 PE,460.0,344.0,116.0,2320.0,529.0,34.8,696.0
2026-07-08 09:15,SENSEX,5min/30min,Bear Call Spread,2026-07-09,78045.1,20,78000 CE,78200 CE,170.0,109.5,60.5,1210.0,195.5,18.15,363.0
2026-07-08 13:50,SENSEX,5min/30min,Bear Call Spread,2026-07-09,77310.4,20,77300 CE,77500 CE,209.35,138.75,70.6,1412.0,240.75,21.18,423.6
2026-07-09 15:05,SENSEX,5min/30min,Bear Call Spread,2026-07-09,76930.0,20,76900 CE,77100 CE,2.65,0.8,1.85,37.0,3.05,0.56,11.2
2026-07-13 11:10,SENSEX,5min/30min,Bull Put Spread,2026-07-16,77630.15,20,77600 PE,77400 PE,585.4,480.25,105.15,2103.0,673.21,31.55,631.0
2026-07-14 09:30,SENSEX,5min/30min,Bear Call Spread,2026-07-16,77515.55,20,77500 CE,77700 CE,339.85,258.1,81.75,1635.0,390.83,24.52,490.4
2026-07-14 14:50,SENSEX,5min/30min,Bear Call Spread,2026-07-16,77119.7,20,77100 CE,77300 CE,283.25,206.8,76.45,1529.0,325.74,22.93,458.6
2026-07-17 15:25,SENSEX,5min/30min,Bull Put Spread,2026-07-23,78129.05,20,78100 PE,77900 PE,563.4,479.6,83.8,1676.0,647.91,25.14,502.8
2026-07-21 10:10,SENSEX,5min/30min,Bear Call Spread,2026-07-23,77631.0,20,77600 CE,77800 CE,352.8,259.65,93.15,1863.0,405.72,27.95,559.0
2026-07-21 12:55,SENSEX,5min/30min,Bear Call Spread,2026-07-23,77440.0,20,77400 CE,77600 CE,356.75,261.55,95.2,1904.0,410.26,28.56,571.2
2026-07-22 09:15,SENSEX,5min/30min,Bear Call Spread,2026-07-23,77154.6,20,77200 CE,77400 CE,253.1,176.85,76.25,1525.0,291.06,22.88,457.6
2026-07-22 13:55,SENSEX,5min/30min,Bear Call Spread,2026-07-23,76786.75,20,76800 CE,77000 CE,219.6,147.0,72.6,1452.0,252.54,21.78,435.6
2026-07-23 11:50,SENSEX,5min/30min,Bear Call Spread,2026-07-23,76642.9,20,76600 CE,76800 CE,87.0,32.65,54.35,1087.0,100.05,16.3,326.0
2026-07-23 13:05,SENSEX,5min/30min,Bear Call Spread,2026-07-23,76272.55,20,76300 CE,76500 CE,78.8,25.15,53.65,1073.0,90.62,16.09,321.8
2026-07-27 15:20,SENSEX,5min/30min,Bull Put Spread,2026-07-30,76995.55,20,77000 PE,76800 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02 14:40,SENSEX,10min/60min,Bull Put Spread,2026-07-02,77910.0,20,77900 PE,77700 PE,403.9,221.8,182.1,3642.0,464.48,54.63,1092.6
2026-07-06 10:20,SENSEX,10min/60min,Bull Put Spread,2026-07-09,78552.5,20,78600 PE,78400 PE,598.0,472.55,125.45,2509.0,687.7,37.63,752.6
2026-07-08 12:10,SENSEX,10min/60min,Bear Call Spread,2026-07-09,77815.0,20,77800 CE,78000 CE,147.5,92.2,55.3,1106.0,169.62,16.59,331.8
2026-07-08 13:50,SENSEX,10min/60min,Bear Call Spread,2026-07-09,77180.0,20,77200 CE,77400 CE,252.0,171.55,80.45,1609.0,289.8,24.14,482.8
2026-07-14 13:30,SENSEX,10min/60min,Bear Call Spread,2026-07-16,77199.0,20,77200 CE,77400 CE,329.0,237.9,91.1,1822.0,378.35,27.33,546.6
2026-07-15 09:20,SENSEX,10min/60min,Bull Put Spread,2026-07-16,77665.1,20,77700 PE,77500 PE,465.8,346.05,119.75,2395.0,535.67,35.92,718.4
2026-07-16 10:50,SENSEX,10min/60min,Bull Put Spread,2026-07-16,77660.0,20,77700 PE,77500 PE,300.1,161.95,138.15,2763.0,345.12,41.45,829.0
2026-07-17 09:20,SENSEX,10min/60min,Bull Put Spread,2026-07-23,77733.0,20,77700 PE,77500 PE,578.95,488.0,90.95,1819.0,665.79,27.29,545.8
2026-07-21 10:30,SENSEX,10min/60min,Bear Call Spread,2026-07-23,77567.15,20,77600 CE,77800 CE,315.4,229.95,85.45,1709.0,362.71,25.64,512.8
2026-07-22 14:50,SENSEX,10min/60min,Bear Call Spread,2026-07-23,76750.0,20,76800 CE,77000 CE,203.7,133.6,70.1,1402.0,234.25,21.03,420.6
2026-07-24 09:30,SENSEX,10min/60min,Bear Call Spread,2026-07-30,75800.0,20,75800 CE,76000 CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 13:10,SENSEX,10min/60min,Bull Put Spread,2026-07-30,76876.2,20,76900 PE,76700 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 15:20,SENSEX,10min/60min,Bull Put Spread,2026-07-30,76994.85,20,77000 PE,76800 PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
